"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-05-04",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-05-06",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-05-07",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-05-24",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-05-25",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-06-05",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-06-28",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-06-29",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-05",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-06",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-07",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-08",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-09",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-12",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-13",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-14",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-15",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-16",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-18",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-19",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-22",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-27",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-07-28",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-11-16",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2010-12-03",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-01-12",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-01-14",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-01-15",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-03-23",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-04-11",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-04-19",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-04-22",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-05-09",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-05-10",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-05-12",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-05-18",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-05-19",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-05-20",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-05-21",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-05-22",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-05-31",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-06-17",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-07-08",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-09-03",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-09-05",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2011-12-01",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2012-02-21",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2012-03-19",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2012-04-28",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2012-04-29",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2012-08-18",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2012-10-21",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2012-10-22",,,,
